,count,mean,std,min,25%,50%,75%,max
paper_writing,4096.0,641530510.9863281,2571134563.207414,3000.0,5447250.0,40162000.0,298919000.0,28173267000.0
paper_all,4096.0,2468015244.6289062,10326507462.8514,23000.0,17797500.0,159640000.0,1080523500.0,142337696000.0
GDPperCapita,4096.0,14207.05153687116,18608.470778758998,227.198486695187,1951.999316470955,5578.93410850734,19700.067409482974,112417.876989455
GDPgrowth,4096.0,3.5290479880033887,4.934387526061243,-50.33851514,1.5735684607120175,3.698051916649685,5.797101632631778,86.8267484395784
internetUsers,4096.0,36.57038289321534,32.9234559550879,0.0,4.546305,28.002299999999998,68.21119999999999,100.0
urbanpop,4096.0,22095616.34814453,68266883.00795217,17998.0,1769042.5,5058860.0,17095803.75,928439823.0
population,4096.0,40859362.99487305,142440392.96608624,38827.0,3092008.25,9695687.5,29493849.0,1425423212.0
Manushare,4096.0,0.12864719046405235,0.0618800383419289,0.0033054226391772,0.0848012862292799,0.1261198578804295,0.16778002897669467,0.449803977869361
trade,4096.0,0.8704867465678817,0.5383120640675229,0.156355914783829,0.532568040141332,0.7570488520580074,1.044769652267945,4.42620019127299
paper_per_capita,4096.0,15.568494079910042,24.376942096465413,0.00030780241301261963,0.9703500833265586,5.392978323988036,18.3429343521788,213.27964152915774
